ts,index,utilization.gpu,memory.used,memory.free,power.draw
2026-05-02T05:55:02,0, 0, 15425, 846, 47.13
2026-05-02T05:55:02,1, 0, 14825, 1446, 44.94
2026-05-02T05:55:02,2, 0, 12269, 4002, 40.83
2026-05-02T05:55:02,3, 0, 15681, 590, 35.23
2026-05-02T05:55:16,0, 0, 15425, 846, 47.13
2026-05-02T05:55:16,1, 0, 14825, 1446, 44.94
2026-05-02T05:55:16,2, 0, 12269, 4002, 40.61
2026-05-02T05:55:16,3, 0, 15681, 590, 35.23
2026-05-02T05:55:30,0, 0, 15425, 846, 47.16
2026-05-02T05:55:30,1, 0, 14825, 1446, 44.94
2026-05-02T05:55:30,2, 0, 12269, 4002, 40.61
2026-05-02T05:55:30,3, 0, 15681, 590, 35.23
2026-05-02T05:55:44,0, 0, 15425, 846, 47.16
2026-05-02T05:55:44,1, 0, 14825, 1446, 44.94
2026-05-02T05:55:44,2, 0, 12269, 4002, 40.61
2026-05-02T05:55:44,3, 0, 15681, 590, 35.23
2026-05-02T05:55:57,0, 0, 15425, 846, 47.13
2026-05-02T05:55:57,1, 0, 14825, 1446, 44.94
2026-05-02T05:55:57,2, 0, 12269, 4002, 40.86
2026-05-02T05:55:57,3, 0, 15681, 590, 35.23
2026-05-02T05:56:11,0, 0, 15425, 846, 47.34
2026-05-02T05:56:11,1, 0, 14825, 1446, 44.91
2026-05-02T05:56:11,2, 0, 12269, 4002, 40.56
2026-05-02T05:56:11,3, 0, 15681, 590, 35.18
2026-05-02T05:56:25,0, 96, 15425, 846, 111.89
2026-05-02T05:56:25,1, 0, 14825, 1446, 52.54
2026-05-02T05:56:25,2, 0, 12269, 4002, 47.73
2026-05-02T05:56:25,3, 0, 15681, 590, 40.70
2026-05-02T05:56:39,0, 18, 15425, 846, 53.72
2026-05-02T05:56:39,1, 16, 14825, 1446, 66.05
2026-05-02T05:56:39,2, 16, 12269, 4002, 74.39
2026-05-02T05:56:39,3, 22, 15681, 590, 95.13
2026-05-02T05:56:52,0, 0, 15425, 846, 50.88
2026-05-02T05:56:52,1, 0, 14825, 1446, 53.77
2026-05-02T05:56:52,2, 0, 12269, 4002, 50.69
2026-05-02T05:56:52,3, 94, 15681, 590, 107.66
2026-05-02T05:57:06,0, 0, 15425, 846, 48.46
2026-05-02T05:57:06,1, 93, 14825, 1446, 124.08
2026-05-02T05:57:06,2, 0, 12269, 4002, 41.70
2026-05-02T05:57:06,3, 0, 15681, 590, 42.40
2026-05-02T05:57:20,0, 48, 15425, 846, 49.23
2026-05-02T05:57:20,1, 0, 14825, 1446, 54.08
2026-05-02T05:57:20,2, 0, 12269, 4002, 51.48
2026-05-02T05:57:20,3, 0, 15681, 590, 42.71
2026-05-02T05:57:33,0, 99, 15425, 846, 64.75
2026-05-02T05:57:33,1, 0, 14825, 1446, 54.08
2026-05-02T05:57:33,2, 0, 12269, 4002, 51.48
2026-05-02T05:57:33,3, 0, 15681, 590, 43.44
2026-05-02T05:57:47,0, 40, 15425, 846, 54.10
2026-05-02T05:57:47,1, 0, 14825, 1446, 54.33
2026-05-02T05:57:47,2, 1, 12269, 4002, 52.22
2026-05-02T05:57:47,3, 0, 15681, 590, 43.44
2026-05-02T05:58:01,0, 50, 15425, 846, 56.02
2026-05-02T05:58:01,1, 10, 14825, 1446, 55.05
2026-05-02T05:58:01,2, 0, 12269, 4002, 50.24
2026-05-02T05:58:01,3, 0, 15681, 590, 42.44
2026-05-02T05:58:15,0, 49, 15425, 846, 74.44
2026-05-02T05:58:15,1, 0, 14825, 1446, 54.08
2026-05-02T05:58:15,2, 0, 12269, 4002, 52.22
2026-05-02T05:58:15,3, 0, 15681, 590, 44.16
2026-05-02T05:58:28,0, 16, 15425, 846, 60.00
2026-05-02T05:58:28,1, 19, 14825, 1446, 82.47
2026-05-02T05:58:28,2, 18, 12269, 4002, 104.11
2026-05-02T05:58:28,3, 20, 15681, 590, 48.43
2026-05-02T05:58:42,0, 64, 15425, 846, 47.06
2026-05-02T05:58:42,1, 0, 14825, 1446, 54.08
2026-05-02T05:58:42,2, 0, 12269, 4002, 43.92
2026-05-02T05:58:42,3, 0, 15681, 590, 43.92
2026-05-02T05:58:56,0, 55, 15425, 846, 50.20
2026-05-02T05:58:56,1, 1, 14825, 1446, 54.56
2026-05-02T05:58:56,2, 8, 12269, 4002, 52.70
2026-05-02T05:58:56,3, 0, 15681, 590, 43.92
2026-05-02T05:59:10,0, 0, 15425, 846, 57.13
2026-05-02T05:59:10,1, 0, 14825, 1446, 53.73
2026-05-02T05:59:10,2, 0, 12269, 4002, 53.55
2026-05-02T05:59:10,3, 93, 15681, 590, 99.08
2026-05-02T05:59:23,0, 53, 15425, 846, 70.17
2026-05-02T05:59:23,1, 0, 14825, 1446, 142.56
2026-05-02T05:59:23,2, 0, 12269, 4002, 54.03
2026-05-02T05:59:23,3, 0, 15681, 590, 45.35
2026-05-02T05:59:37,0, 97, 15425, 846, 71.53
2026-05-02T05:59:37,1, 0, 14825, 1446, 53.59
2026-05-02T05:59:37,2, 0, 12269, 4002, 52.67
2026-05-02T05:59:37,3, 0, 15681, 590, 44.14
2026-05-02T05:59:51,0, 33, 15425, 846, 89.18
2026-05-02T05:59:51,1, 0, 14825, 1446, 53.31
2026-05-02T05:59:51,2, 30, 12269, 4002, 52.89
2026-05-02T05:59:51,3, 0, 15681, 590, 45.08
2026-05-02T06:00:05,0, 52, 15425, 846, 59.92
2026-05-02T06:00:05,1, 0, 14825, 1446, 53.83
2026-05-02T06:00:05,2, 0, 12269, 4002, 54.87
2026-05-02T06:00:05,3, 0, 15681, 590, 45.38
2026-05-02T06:00:18,0, 89, 15425, 846, 96.17
2026-05-02T06:00:18,1, 0, 14825, 1446, 52.82
2026-05-02T06:00:18,2, 0, 12269, 4002, 45.60
2026-05-02T06:00:18,3, 0, 15681, 590, 46.34
2026-05-02T06:00:32,0, 47, 15425, 846, 109.40
2026-05-02T06:00:32,1, 0, 14825, 1446, 52.79
2026-05-02T06:00:32,2, 10, 12269, 4002, 56.05
2026-05-02T06:00:32,3, 0, 15681, 590, 45.11
2026-05-02T06:00:46,0, 40, 15425, 846, 47.95
2026-05-02T06:00:46,1, 85, 14825, 1446, 119.28
2026-05-02T06:00:46,2, 0, 12269, 4002, 55.53
2026-05-02T06:00:46,3, 0, 15681, 590, 45.81
2026-05-02T06:01:00,0, 42, 15425, 846, 58.91
2026-05-02T06:01:00,1, 0, 14825, 1446, 52.13
2026-05-02T06:01:00,2, 0, 12269, 4002, 56.58
2026-05-02T06:01:00,3, 10, 15681, 590, 47.31
2026-05-02T06:01:14,0, 44, 15425, 846, 58.21
2026-05-02T06:01:14,1, 10, 14825, 1446, 53.10
2026-05-02T06:01:14,2, 0, 12269, 4002, 54.87
2026-05-02T06:01:14,3, 0, 15681, 590, 45.63
2026-05-02T06:01:27,0, 16, 15425, 846, 59.20
2026-05-02T06:01:27,1, 19, 14825, 1446, 56.54
2026-05-02T06:01:27,2, 16, 12269, 4002, 66.32
2026-05-02T06:01:27,3, 30, 15681, 590, 93.42
2026-05-02T06:01:42,0, 19, 15425, 846, 57.09
2026-05-02T06:01:42,1, 21, 14825, 1446, 63.86
2026-05-02T06:01:42,2, 16, 12269, 4002, 110.18
2026-05-02T06:01:42,3, 25, 15681, 590, 50.86
2026-05-02T06:01:55,0, 19, 15425, 846, 62.93
2026-05-02T06:01:55,1, 19, 14825, 1446, 72.82
2026-05-02T06:01:55,2, 19, 12269, 4002, 87.28
2026-05-02T06:01:55,3, 27, 15681, 590, 43.59
2026-05-02T06:02:09,0, 14, 15425, 846, 49.37
2026-05-02T06:02:09,1, 21, 14825, 1446, 47.19
2026-05-02T06:02:09,2, 22, 12269, 4002, 59.38
2026-05-02T06:02:09,3, 19, 15681, 590, 83.83
2026-05-02T06:02:23,0, 13, 15425, 846, 47.31
2026-05-02T06:02:23,1, 7, 14825, 1446, 43.90
2026-05-02T06:02:23,2, 15, 12269, 4002, 48.35
2026-05-02T06:02:23,3, 27, 15681, 590, 40.56
2026-05-02T06:02:37,0, 17, 15425, 846, 92.39
2026-05-02T06:02:37,1, 21, 14825, 1446, 92.36
2026-05-02T06:02:37,2, 16, 12269, 4002, 50.14
2026-05-02T06:02:37,3, 21, 15681, 590, 56.22
2026-05-02T06:02:50,0, 13, 15425, 846, 49.13
2026-05-02T06:02:50,1, 21, 14825, 1446, 47.16
2026-05-02T06:02:50,2, 15, 12269, 4002, 57.44
2026-05-02T06:02:50,3, 25, 15681, 590, 88.45
2026-05-02T06:03:04,0, 16, 15425, 846, 53.02
2026-05-02T06:03:04,1, 20, 14825, 1446, 56.44
2026-05-02T06:03:04,2, 16, 12269, 4002, 82.91
2026-05-02T06:03:04,3, 25, 15681, 590, 52.57
2026-05-02T06:03:18,0, 13, 15425, 846, 49.13
2026-05-02T06:03:18,1, 18, 14825, 1446, 47.92
2026-05-02T06:03:18,2, 18, 12269, 4002, 59.87
2026-05-02T06:03:18,3, 24, 15681, 590, 100.58
2026-05-02T06:03:32,0, 48, 15425, 846, 93.74
2026-05-02T06:03:32,1, 0, 14825, 1446, 43.82
2026-05-02T06:03:32,2, 0, 12269, 4002, 57.97
2026-05-02T06:03:32,3, 0, 15681, 590, 40.70
2026-05-02T06:03:45,0, 1, 15425, 846, 76.30
2026-05-02T06:03:45,1, 61, 14825, 1446, 52.58
2026-05-02T06:03:45,2, 0, 12269, 4002, 57.03
2026-05-02T06:03:45,3, 0, 15681, 590, 47.77
2026-05-02T06:03:59,0, 0, 15425, 846, 56.16
2026-05-02T06:03:59,1, 0, 14825, 1446, 50.32
2026-05-02T06:03:59,2, 0, 12269, 4002, 58.86
2026-05-02T06:03:59,3, 93, 15681, 590, 166.41
2026-05-02T06:04:13,0, 1, 15425, 846, 56.67
2026-05-02T06:04:13,1, 0, 14825, 1446, 50.60
2026-05-02T06:04:13,2, 84, 12269, 4002, 130.09
2026-05-02T06:04:13,3, 0, 15681, 590, 47.98
2026-05-02T06:04:27,0, 50, 15425, 846, 59.88
2026-05-02T06:04:27,1, 0, 14825, 1446, 49.93
2026-05-02T06:04:27,2, 0, 12269, 4002, 57.31
2026-05-02T06:04:27,3, 0, 15681, 590, 48.29
2026-05-02T06:04:40,0, 53, 15425, 846, 58.21
2026-05-02T06:04:40,1, 0, 14825, 1446, 49.93
2026-05-02T06:04:40,2, 0, 12269, 4002, 60.23
2026-05-02T06:04:40,3, 0, 15681, 590, 48.29
2026-05-02T06:04:54,0, 0, 15425, 846, 56.15
2026-05-02T06:04:54,1, 0, 14825, 1446, 49.81
2026-05-02T06:04:54,2, 94, 12269, 4002, 166.41
2026-05-02T06:04:54,3, 0, 15681, 590, 48.64
2026-05-02T06:05:08,0, 47, 15425, 846, 57.00
2026-05-02T06:05:08,1, 10, 14825, 1446, 51.15
2026-05-02T06:05:08,2, 0, 12269, 4002, 48.80
2026-05-02T06:05:08,3, 0, 15681, 590, 40.99
2026-05-02T06:05:22,0, 0, 15425, 846, 56.67
2026-05-02T06:05:22,1, 95, 14825, 1446, 113.65
2026-05-02T06:05:22,2, 0, 12269, 4002, 60.15
2026-05-02T06:05:22,3, 0, 15681, 590, 48.71
2026-05-02T06:05:35,0, 53, 15425, 846, 57.93
2026-05-02T06:05:35,1, 0, 14825, 1446, 49.69
2026-05-02T06:05:35,2, 0, 12269, 4002, 60.68
2026-05-02T06:05:35,3, 0, 15681, 590, 49.50
2026-05-02T06:05:49,0, 60, 15425, 846, 179.33
2026-05-02T06:05:49,1, 0, 14825, 1446, 42.05
2026-05-02T06:05:49,2, 0, 12269, 4002, 61.06
2026-05-02T06:05:49,3, 0, 15681, 590, 49.65
2026-05-02T06:06:03,0, 52, 15425, 846, 61.34
2026-05-02T06:06:03,1, 0, 14825, 1446, 48.47
2026-05-02T06:06:03,2, 0, 12269, 4002, 61.42
2026-05-02T06:06:03,3, 10, 15681, 590, 48.78
2026-05-02T06:06:17,0, 56, 15425, 846, 64.14
2026-05-02T06:06:17,1, 0, 14825, 1446, 48.60
2026-05-02T06:06:17,2, 0, 12269, 4002, 134.07
2026-05-02T06:06:17,3, 0, 15681, 590, 49.17
2026-05-02T06:06:30,0, 8, 15425, 846, 73.92
2026-05-02T06:06:30,1, 0, 14825, 1446, 47.95
2026-05-02T06:06:30,2, 86, 12269, 4002, 64.34
2026-05-02T06:06:30,3, 0, 15681, 590, 49.99
2026-05-02T06:06:44,0, 97, 15425, 846, 146.34
2026-05-02T06:06:44,1, 0, 14825, 1446, 41.13
2026-05-02T06:06:44,2, 0, 12269, 4002, 50.90
2026-05-02T06:06:44,3, 0, 15681, 590, 41.67
2026-05-02T06:06:58,0, 49, 15425, 846, 110.11
2026-05-02T06:06:58,1, 0, 14825, 1446, 47.92
2026-05-02T06:06:58,2, 0, 12269, 4002, 61.83
2026-05-02T06:06:58,3, 0, 15681, 590, 95.68
2026-05-02T06:07:12,0, 0, 15425, 846, 55.70
2026-05-02T06:07:12,1, 0, 14825, 1446, 47.92
2026-05-02T06:07:12,2, 94, 12269, 4002, 141.50
2026-05-02T06:07:12,3, 0, 15681, 590, 48.67
2026-05-02T06:07:26,0, 17, 15425, 846, 68.66
2026-05-02T06:07:26,1, 20, 14825, 1446, 43.51
2026-05-02T06:07:26,2, 21, 12269, 4002, 56.91
2026-05-02T06:07:26,3, 25, 15681, 590, 84.26
2026-05-02T06:07:39,0, 0, 15425, 846, 46.86
2026-05-02T06:07:39,1, 0, 14825, 1446, 47.81
2026-05-02T06:07:39,2, 0, 12269, 4002, 62.51
2026-05-02T06:07:39,3, 0, 15681, 590, 49.09
2026-05-02T06:07:53,0, 0, 15425, 846, 55.12
2026-05-02T06:07:53,1, 0, 14825, 1446, 48.05
2026-05-02T06:07:53,2, 0, 12269, 4002, 62.72
2026-05-02T06:07:53,3, 0, 15681, 590, 49.08
2026-05-02T06:08:07,0, 0, 15425, 846, 54.63
2026-05-02T06:08:07,1, 0, 14825, 1446, 41.49
2026-05-02T06:08:07,2, 0, 12269, 4002, 62.24
2026-05-02T06:08:07,3, 0, 15681, 590, 49.33
2026-05-02T06:08:21,0, 0, 15425, 846, 45.91
2026-05-02T06:08:21,1, 0, 14825, 1446, 40.78
2026-05-02T06:08:21,2, 0, 12269, 4002, 50.58
2026-05-02T06:08:21,3, 0, 15681, 590, 41.56
2026-05-02T06:08:35,0, 0, 15425, 846, 45.67
2026-05-02T06:08:35,1, 0, 14825, 1446, 40.78
2026-05-02T06:08:35,2, 0, 12269, 4002, 50.34
2026-05-02T06:08:35,3, 0, 15681, 590, 41.32
2026-05-02T06:08:48,0, 0, 15425, 846, 45.42
2026-05-02T06:08:48,1, 0, 14825, 1446, 40.54
2026-05-02T06:08:48,2, 0, 12269, 4002, 50.12
2026-05-02T06:08:48,3, 0, 15681, 590, 41.08
2026-05-02T06:09:02,0, 0, 15425, 846, 45.18
2026-05-02T06:09:02,1, 0, 14825, 1446, 40.54
2026-05-02T06:09:02,2, 0, 12269, 4002, 49.88
2026-05-02T06:09:02,3, 0, 15681, 590, 40.83
2026-05-02T06:09:16,0, 0, 15425, 846, 45.18
2026-05-02T06:09:16,1, 0, 14825, 1446, 40.54
2026-05-02T06:09:16,2, 0, 12269, 4002, 49.88
2026-05-02T06:09:16,3, 0, 15681, 590, 40.59
2026-05-02T06:09:30,0, 0, 15425, 846, 45.18
2026-05-02T06:09:30,1, 0, 14825, 1446, 40.54
2026-05-02T06:09:30,2, 0, 12269, 4002, 49.39
2026-05-02T06:09:30,3, 0, 15681, 590, 40.59
2026-05-02T06:09:43,0, 0, 15425, 846, 44.93
2026-05-02T06:09:43,1, 0, 14825, 1446, 40.54
2026-05-02T06:09:43,2, 0, 12269, 4002, 49.15
2026-05-02T06:09:43,3, 0, 15681, 590, 40.34
2026-05-02T06:09:57,0, 0, 15425, 846, 44.93
2026-05-02T06:09:57,1, 0, 14825, 1446, 40.54
2026-05-02T06:09:57,2, 0, 12269, 4002, 48.90
2026-05-02T06:09:57,3, 0, 15681, 590, 40.10
2026-05-02T06:10:11,0, 0, 15425, 846, 44.93
2026-05-02T06:10:11,1, 0, 14825, 1446, 40.54
2026-05-02T06:10:11,2, 0, 12269, 4002, 48.90
2026-05-02T06:10:11,3, 0, 15681, 590, 40.10
2026-05-02T06:10:25,0, 0, 15425, 846, 44.93
2026-05-02T06:10:25,1, 0, 14825, 1446, 40.79
2026-05-02T06:10:25,2, 0, 12269, 4002, 48.66
2026-05-02T06:10:25,3, 0, 15681, 590, 39.85
2026-05-02T06:10:38,0, 0, 15425, 846, 44.96
2026-05-02T06:10:38,1, 0, 14825, 1446, 40.79
2026-05-02T06:10:38,2, 0, 12269, 4002, 48.66
2026-05-02T06:10:38,3, 0, 15681, 590, 39.61
2026-05-02T06:10:52,0, 0, 15425, 846, 44.93
2026-05-02T06:10:52,1, 0, 14825, 1446, 40.79
2026-05-02T06:10:52,2, 0, 12269, 4002, 48.41
2026-05-02T06:10:52,3, 0, 15681, 590, 39.37
2026-05-02T06:11:06,0, 0, 15425, 846, 44.96
2026-05-02T06:11:06,1, 0, 14825, 1446, 41.03
2026-05-02T06:11:06,2, 0, 12269, 4002, 48.17
2026-05-02T06:11:06,3, 0, 15681, 590, 39.37
2026-05-02T06:11:20,0, 0, 15425, 846, 44.93
2026-05-02T06:11:20,1, 0, 14825, 1446, 41.03
2026-05-02T06:11:20,2, 0, 12269, 4002, 47.92
2026-05-02T06:11:20,3, 0, 15681, 590, 39.12
2026-05-02T06:11:34,0, 0, 15425, 846, 44.96
2026-05-02T06:11:34,1, 0, 14825, 1446, 41.28
2026-05-02T06:11:34,2, 0, 12269, 4002, 47.68
2026-05-02T06:11:34,3, 0, 15681, 590, 39.12
2026-05-02T06:11:47,0, 0, 15425, 846, 45.18
2026-05-02T06:11:47,1, 0, 14825, 1446, 41.28
2026-05-02T06:11:47,2, 0, 12269, 4002, 47.68
2026-05-02T06:11:47,3, 0, 15681, 590, 38.88
2026-05-02T06:12:01,0, 0, 15425, 846, 45.18
2026-05-02T06:12:01,1, 0, 14825, 1446, 41.52
2026-05-02T06:12:01,2, 0, 12269, 4002, 47.43
2026-05-02T06:12:01,3, 0, 15681, 590, 38.88
