# timestamp,index,utilization.gpu,memory.used,power.draw (per-row)
2026/05/02 06:40:30.711, 0, 0 %, 14969 MiB, 53.97 W
2026/05/02 06:40:30.715, 1, 0 %, 14577 MiB, 44.45 W
2026/05/02 06:40:30.722, 2, 0 %, 11987 MiB, 39.85 W
2026/05/02 06:40:30.725, 3, 0 %, 15465 MiB, 34.98 W
2026/05/02 06:40:44.422, 0, 0 %, 14969 MiB, 46.67 W
2026/05/02 06:40:44.426, 1, 0 %, 14577 MiB, 44.45 W
2026/05/02 06:40:44.429, 2, 0 %, 11987 MiB, 39.88 W
2026/05/02 06:40:44.432, 3, 0 %, 15465 MiB, 34.98 W
2026/05/02 06:40:58.182, 0, 0 %, 14969 MiB, 46.67 W
2026/05/02 06:40:58.186, 1, 0 %, 14577 MiB, 44.70 W
2026/05/02 06:40:58.189, 2, 0 %, 11987 MiB, 39.88 W
2026/05/02 06:40:58.192, 3, 0 %, 15465 MiB, 35.23 W
2026/05/02 06:41:12.264, 0, 41 %, 15347 MiB, 105.83 W
2026/05/02 06:41:12.267, 1, 0 %, 14691 MiB, 52.82 W
2026/05/02 06:41:12.270, 2, 0 %, 12101 MiB, 47.31 W
2026/05/02 06:41:12.273, 3, 0 %, 15563 MiB, 35.14 W
2026/05/02 06:41:26.337, 0, 15 %, 15347 MiB, 71.34 W
2026/05/02 06:41:26.343, 1, 17 %, 14691 MiB, 79.88 W
2026/05/02 06:41:26.346, 2, 16 %, 12101 MiB, 92.99 W
2026/05/02 06:41:26.349, 3, 27 %, 15579 MiB, 46.94 W
2026/05/02 06:41:39.993, 0, 17 %, 15347 MiB, 56.63 W
2026/05/02 06:41:39.996, 1, 20 %, 14691 MiB, 73.05 W
2026/05/02 06:41:39.999, 2, 19 %, 12101 MiB, 89.65 W
2026/05/02 06:41:40.002, 3, 25 %, 15579 MiB, 56.19 W
2026/05/02 06:41:53.696, 0, 17 %, 15347 MiB, 65.35 W
2026/05/02 06:41:53.700, 1, 20 %, 14691 MiB, 72.11 W
2026/05/02 06:41:53.705, 2, 18 %, 12101 MiB, 95.67 W
2026/05/02 06:41:53.709, 3, 24 %, 15579 MiB, 47.46 W
