task	pattern	trial	transition	gem	build	diff_files	diff_ins	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	6m20s	5	77	yes	yes	4	4	3	5	4
search	selfplan	search-selfplan-r2	self_exit	-	6m20s	5	91	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r3	self_exit	-	5m20s	6	80	yes	yes	4	4	4	4	4
search	selfplan	search-selfplan-r4	self_exit	-	6m0s	4	29	yes	yes	4	4	4	3	3
search	selfplan	search-selfplan-r5	self_exit	-	5m20s	6	91	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r1	self_exit	-	5m40s	5	54	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r2	self_exit	-	5m40s	5	33	yes	yes	4	5	5	5	3
search	givenplan	search-givenplan-r3	self_exit	-	6m0s	5	44	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r4	self_exit	-	5m40s	5	39	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r5	self_exit	-	5m40s	5	50	yes	yes	5	5	5	5	5
page	selfplan	page-selfplan-r1	self_exit	pagy 8.6.3	6m40s	7	85	yes	NO	2	1	2	2	2
page	selfplan	page-selfplan-r2	self_exit	kaminari	6m0s	5	60	yes	yes	4	5	5	5	3
page	selfplan	page-selfplan-r3	self_exit	manual(limit/offset)	5m40s	4	61	yes	yes	4	5	4	5	3
page	selfplan	page-selfplan-r4	self_exit	kaminari	9m0s	7	64	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r5	self_exit	pagy 43.4.4	20m0s	5	54	yes	NO	3	3	2	2	3
page	givenplan	page-givenplan-r1	self_exit	kaminari	11m0s	4	18	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r2	self_exit	kaminari	10m0s	4	18	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r3	self_exit	kaminari	8m20s	4	22	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r4	self_exit	kaminari	10m40s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r5	self_exit	kaminari	4m40s	4	18	yes	yes	5	5	5	5	4
