task	pattern	trial	transition	gem	build	diff_files	diff_ins	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	5m0s	5	79	yes	yes	5	5	5	5	4
search	selfplan	search-selfplan-r2	self_exit	-	11m40s	5	109	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r3	self_exit	-	8m0s	5	85	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r4	self_exit	-	9m20s	7	146	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r5	self_exit	-	6m0s	5	84	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r1	self_exit	-	5m40s	5	37	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r2	self_exit	-	5m0s	5	48	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r3	self_exit	-	4m20s	5	38	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r4	self_exit	-	7m0s	5	49	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r5	self_exit	-	6m20s	5	53	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r1	self_exit	kaminari	6m40s	7	97	yes	yes	5	5	5	5	5
page	selfplan	page-selfplan-r2	self_exit	kaminari	10m0s	5	59	yes	yes	5	5	5	5	5
page	selfplan	page-selfplan-r3	self_exit	kaminari	8m40s	8	118	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r4	self_exit	kaminari	9m0s	6	142	yes	yes	5	5	5	5	3
page	selfplan	page-selfplan-r5	self_exit	kaminari	20m40s	6	54	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r1	self_exit	kaminari	11m0s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r2	self_exit	kaminari	4m0s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r3	self_exit	kaminari	5m40s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r4	self_exit	kaminari	4m0s	4	19	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r5	self_exit	kaminari	8m40s	5	36	yes	yes	5	5	5	5	4
