task	pattern	trial	transition	gem	build	diff_files	diff_ins	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	9m40s	8	174	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r2	self_exit	-	11m20s	8	113	yes	yes	3	3	3	4	4
search	selfplan	search-selfplan-r3	self_exit	-	10m0s	6	148	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r4	self_exit	-	7m20s	6	84	yes	yes	4	5	4	4	4
search	selfplan	search-selfplan-r5	self_exit	-	9m40s	6	124	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r1	self_exit	-	6m0s	5	52	yes	yes	5	5	5	4	4
search	givenplan	search-givenplan-r2	self_exit	-	5m40s	5	84	yes	yes	5	5	5	4	5
search	givenplan	search-givenplan-r3	self_exit	-	6m20s	5	65	yes	yes	5	5	5	4	4
search	givenplan	search-givenplan-r4	self_exit	-	8m20s	6	97	yes	yes	5	5	5	4	4
search	givenplan	search-givenplan-r5	self_exit	-	6m20s	5	46	yes	yes	4	5	4	4	4
page	selfplan	page-selfplan-r1	self_exit	kaminari	13m40s	6	54	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r2	self_exit	pagy 43.4.4	19m0s	7	58	yes	yes	4	4	4	4	3
page	selfplan	page-selfplan-r3	self_exit	pagy 43.4.4	14m0s	6	45	yes	NO	2	2	3	2	3
page	selfplan	page-selfplan-r4	self_exit	pagy 43.4.4	33m20s	10	229	yes	NO	2	2	3	3	4
page	selfplan	page-selfplan-r5	self_exit	kaminari	13m40s	5	67	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r1	self_exit	kaminari	4m0s	4	23	yes	yes	4	5	5	3	2
page	givenplan	page-givenplan-r2	self_exit	kaminari	4m40s	4	19	yes	yes	4	5	5	3	2
page	givenplan	page-givenplan-r3	self_exit	kaminari	4m40s	4	19	yes	yes	4	5	5	3	2
page	givenplan	page-givenplan-r4	self_exit	kaminari	5m0s	4	19	yes	yes	4	5	5	3	2
page	givenplan	page-givenplan-r5	self_exit	kaminari	17m20s	6	146	yes	yes	5	5	5	4	4
