task	pattern	trial	transition	gem	build	diff_files	diff_ins	report_n	test_pass	functional	score	correct	idiom	complete	testq
search	selfplan	search-selfplan-r1	self_exit	-	6m0s	5	66	0	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r2	self_exit	-	4m40s	4	37	0	yes	yes	5	5	5	5	4
search	selfplan	search-selfplan-r3	self_exit	-	4m20s	4	40	0	yes	yes	5	5	5	5	4
search	selfplan	search-selfplan-r4	self_exit	-	7m20s	6	134	0	yes	yes	5	5	5	5	5
search	selfplan	search-selfplan-r5	self_exit	-	5m0s	5	73	0	yes	yes	5	5	5	5	5
search	givenplan	search-givenplan-r1	self_exit	-	5m20s	5	35	0	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r2	self_exit	-	4m40s	5	46	0	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r3	self_exit	-	4m20s	5	50	0	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r4	self_exit	-	4m20s	5	54	0	yes	yes	5	5	5	5	4
search	givenplan	search-givenplan-r5	self_exit	-	4m40s	5	57	0	yes	yes	5	5	5	5	5
page	selfplan	page-selfplan-r1	self_exit	kaminari	6m20s	5	38	0	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r2	self_exit	kaminari	5m20s	7	91	0	yes	NO	2	2	4	2	2
page	selfplan	page-selfplan-r3	self_exit	kaminari	7m20s	6	82	0	yes	NO	2	2	4	3	3
page	selfplan	page-selfplan-r4	self_exit	kaminari	16m20s	14	165	0	yes	yes	5	5	5	5	4
page	selfplan	page-selfplan-r5	self_exit	kaminari	22m20s	7	74	0	yes	yes	4	5	4	5	5
page	givenplan	page-givenplan-r1	self_exit	kaminari	8m20s	4	19	0	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r2	self_exit	kaminari	7m0s	4	21	0	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r3	self_exit	-	6m20s	0	0	0	yes	NO	1	1	1	1	1
page	givenplan	page-givenplan-r4	self_exit	kaminari	6m20s	4	19	0	yes	yes	5	5	5	5	4
page	givenplan	page-givenplan-r5	self_exit	kaminari	33m40s	4	17	0	yes	yes	5	5	5	5	4
