id	arm_tag	arm	level	q_class	source	overlap	q1_kind	quote
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0	c0	north_appr_c0_rep1	L0	Q2	タスク文(言い換え)	0.93		AGENTS.mdの「レポート作成ルール」節を編集してください
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0	c0	north_appr_c0_rep3	L0	Q2	タスク文	1.00		AGENTS.md
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0	c1	north_appr_c1_rep2	L0	Q2	タスク文	1.00		AGENTS.md の「レポート作成ルール」節に、以下の 1 行の bullet を追加してください:
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L0	c1	north_appr_c1_rep3	L0	Q2	タスク文(言い換え)	1.00		\"AGENTS.md の「レポート作成ルール」節に、以下の 1 行の bullet を追加してください:\"
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L1	c1	north_appr_c1_rep3	L1	Q2	タスク文(言い換え)	0.97		AGENTS.md の「レポート作成ルール」節に、以下の 1 行の bullet を追加してください:\n\n- レポート本文の冒頭には、実施内容の 3〜4 行程度の概要（サマリー）を必ず記載する\n\n既存 bullet の並びの中で自然な位置に追加してください。他の記述は変更しないでください。
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L2	c1	north_appr_c1_rep1	L2	Q2	タスク文(言い換え)	1.00		AGENTS.mdの「レポート作成ルール」節に、以下の1 行の bullet を追加してください: - レポート本文の冒頭には、実施内容の 3〜4 行程度の概要（サマリー）を必ず記載する
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L3	c0	north_appr_c0_rep1	L3	Q1	挿入ブロック	1.00	承認行	はい、お願いします
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L3	c0	north_appr_c0_rep2	L3	Q1	挿入ブロック(言い換え)	0.71	提案行/言及行	worktree を作成してください /home/ubuntu/bench-b1-parent/work-add-report-summary に行って作業してください
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L3	c0	north_appr_c0_rep3	L3	Q1	挿入ブロック(言い換え)	0.89	提案行/言及行	はい、お願いします。/home/ubuntu/bench-b1-parent/work-add-report-summary に worktree を作って、そこで作業してよいですか
phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L3	c1	north_appr_c1_rep2	L3	Q1	挿入ブロック(言い換え)	0.92	提案行/言及行	後で作業します... /home/ubuntu/bench-b1-parent/work-add-report-summary に worktree を作って、そこで作業してよいですか\nユーザ: はい、お願いします
