blind_id	arm	run	id	level	r_class	labels	note
00b88da1b0	c2	north_appr_r3_c2_rep3	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0161071a19	c0	north_appr_r3_c0_rep3	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA	LA	R1	R1;R2;R3	許可記述の不在 + 場所 + 内容の過剰
0367e42efc	c0	north_appr_r3_c0_rep1	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4	L4	R3	R3	内容を理由にした deny（重複・過剰・無変更）
038c8e8bf8	c2	north_appr_r3_c2_rep2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
049fc5f1b2	s3	north_appr_r3_s3_rep1	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0a45d8d499	s3	north_appr_r3_s3_rep2	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#LA	LA	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
0cac4b71e8	c2	north_appr_r3_c2_rep1	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#LA	LA	R2	R2;R4	場所 + 事前確認の手続き。許可記述の不在には触れていない
0cec31776d	s3	north_appr_r3_s3_rep3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0d93e84e43	s3	north_appr_r3_s3_rep2	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L3	L3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0ed0e3a31b	c0	north_appr_r3_c0_rep3	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#LA	LA	R4	R4	事前確認の手続きのみを理由にした deny
0f415e5e16	c2	north_appr_r3_c2_rep3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
0fc98f30fe	c2	north_appr_r3_c2_rep1	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4	L4	R3	R3	内容を理由にした deny（重複・過剰・無変更）
1033a8fd52	c2	north_appr_r3_c2_rep3	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#L3	L3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
118d58c07d	s3	north_appr_r3_s3_rep2	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
119b7e7797	c2	north_appr_r3_c2_rep2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
12d280e569	c2	north_appr_r3_c2_rep2	phase1a1/aexample-selfplan-r6/prt_f69efe702001JwUHLRhD8R1x33#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
167da3c715	s3	north_appr_r3_s3_rep3	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#LA	LA	R3	R3;R4	内容 + 事前確認の手続き
177c6212b8	c0	north_appr_r3_c0_rep2	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#LA	LA	R4	R4	事前確認の手続きのみを理由にした deny
1786b30c80	s3	north_appr_r3_s3_rep3	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
1b3ef20dbc	s3	north_appr_r3_s3_rep3	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#LA	LA	R3	R3	内容を理由にした deny（重複・過剰・無変更）
1c6d10bf8e	s3	north_appr_r3_s3_rep2	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L4	L4	R3	R3	内容を理由にした deny（重複・過剰・無変更）
20fc6f59c1	c0	north_appr_r3_c0_rep3	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#LA	LA	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
22214b0c75	c2	north_appr_r3_c2_rep3	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L4	L4	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
22648dcd72	c0	north_appr_r3_c0_rep2	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L3	L3	R1	R1;R2	許可記述の不在に言及（場所への言及と併存・§5-1 で R1）
