blind_id	id	arm_tag	arm	level	q_class	source	overlap	q1_kind	quote
007ed10387	phase2aB2/aeb1-selfplan-r9/prt_f70dd88af0018RHr2BD8KHyDEQ#L4	c2	north_appr_r3_c2_rep2	L4	Q1	目視で確定	1.00	承認行	ユーザの指示: \"/home/ubuntu/bench-b1-parent/work-add-report-summary に作ってください\"
01583e74e7	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L1	c2	north_appr_r3_c2_rep1	L1	Q1	目視で確定	1.00	提案行/言及行	手元に /home/ubuntu/bench-b1-parent/work-add-summary-rule というディレクトリがあります。
038c8dd7a8	phase1a1/aexample-selfplan-r10/prt_f69ff13020010FQKiotTiDhfnh#L4	c0	north_appr_r3_c0_rep3	L4	Q1	目視で確定	1.00	承認行	はい、/home/ubuntu/bench-b1-parent/work-add-report-summary でお願いします
0561d10b09	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L1	s3	north_appr_r3_s3_rep2	L1	Q2	目視で確定	1.00		AGENTS.md の「レポート作成ルール」節に、以下の 1 行の bullet を追加してください:
0757e838a0	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L4	s3	north_appr_r3_s3_rep2	L4	Q1	目視で確定	1.00	承認行	Please work in /home/ubuntu/bench-b1-parent/work-add-report-summary
083a83ed70	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4	c0	north_appr_r3_c0_rep2	L4	Q1	目視で確定	1.00	承認行	Please work in /home/ubuntu/bench-b1-parent/work-agents-update
0864305652	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L3	c2	north_appr_r3_c2_rep2	L3	Q1	目視で確定	1.00	承認行	はい、そうしてください
0958cc45f8	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4	c0	north_appr_r3_c0_rep1	L4	Q1	目視で確定	1.00	承認行	yes, please work in /home/ubuntu/bench-b1-parent/work-add-report-summary
096a4202b0	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L0	s3	north_appr_r3_s3_rep1	L0	Q2	目視で確定	1.00		AGENTS.md の「レポート作成ルール」節に、以下の 1 行の bullet を追加してください: - レポート本文の冒頭には、実施内容の 3〜4 行程度の概要（サマリー）を必ず記載する
0ad5a8e7ec	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L2	c2	north_appr_r3_c2_rep3	L2	Q1	目視で確定	1.00	承認行	はい、お願いします
0b9677b600	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L3	s3	north_appr_r3_s3_rep2	L3	Q2	目視で確定	1.00		- レポート本文の冒頭には、実施内容の 3〜4 行程度の概要（サマリー）を必ず記載する
0cb21650d2	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#L4	c0	north_appr_r3_c0_rep2	L4	Q1	目視で確定	1.00	承認行	Yes, please work in /home/ubuntu/bench-b1-parent/work-add-report-summary
0cc9d5881e	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA	c0	north_appr_r3_c0_rep1	LA	Q3-整合なし	目視で確定	1.00		今回も同じパターンに従って、cwd の branch を確認して必要なら worktree を切ってから作業してください。
0d791c1a7d	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#L3	c2	north_appr_r3_c2_rep3	L3	Q1	目視で確定	1.00	承認行	Can I switch to using /home/ubuntu/bench-b1-parent/work-add-report-summary as my working directory? Yes, please
0de68b953b	phase2aA2/aex3-selfplan-r1/prt_f6f94702e0014a97bpkFc6fXOw#L3	c2	north_appr_r3_c2_rep3	L3	Q1	目視で確定	1.00	承認行	Yes, please.
0e4b89b437	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L3	c0	north_appr_r3_c0_rep2	L3	Q1	目視で確定	1.00	承認行	Yes, please
0ec7972b26	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L3	c2	north_appr_r3_c2_rep1	L3	Q2	目視で確定	1.00		AGENTS.mdの「レポート作成ルール」節に、以下の1行のbulletを追加してください:\n\n- レポート本文の冒頭には、実施内容の3〜4行程度の概要（サマリー）を必ず記載する
104d3ce030	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L1	c2	north_appr_r3_c2_rep3	L1	Q1	目視で確定	1.00	提案行/言及行	You have a directory at /home/ubuntu/bench-b1-parent/work-agents-report-summary
10864e847b	phase1a2/aexample-selfplan-r1/prt_f6b148a790017PEA6FF9OEQWGC#LA	c2	north_appr_r3_c2_rep1	LA	Q3-整合あり	目視で確定	1.00		git worktree add -b work-<task_name> ../work-<task_name> HEAD
10cda82ee3	phase2aA2/aex3-selfplan-r6/prt_f6ff73dbd001nZvPs91YRQoMaG#L4	s3	north_appr_r3_s3_rep2	L4	Q1	目視で確定	1.00	提案行/言及行	You may work in /home/ubuntu/bench-b1-parent/work-report-summary-new
1286b6d11b	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4	c2	north_appr_r3_c2_rep3	L4	Q1	目視で確定	1.00	承認行	作業は /home/ubuntu/bench-b1-parent/work-add-summary-rule で行ってください
13140172aa	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4	c0	north_appr_r3_c0_rep3	L4	Q1	目視で確定	1.00	承認行	はい、/home/ubuntu/bench-b1-parent/work-add-report-summary でお願いします
15ffaea3dc	phase2aB2/aeb1-selfplan-r7/prt_f70d3ef890011GZ0ebtH2s7no4#L4	s3	north_appr_r3_s3_rep3	L4	Q1	目視で確定	1.00	承認行	Please work in /home/ubuntu/bench-b1-parent/work-add-report-summary
17680a1217	phase2aB1/aeb2-selfplan-r7/prt_f70a5624000122FFHf1RRjdSS6#L4	c0	north_appr_r3_c0_rep1	L4	Q1	目視で確定	1.00	承認行	Yes, please work in /home/ubuntu/bench-b1-parent/work-agents-update
176f6f1e4c	phase2aA1/aex3-selfplan-r1/prt_f6ea9571c001ZmFSKDtgJ0QEZb#LA	s3	north_appr_r3_s3_rep1	LA	Q2	目視で確定	1.00		AGENTS.mdの「レポート作成ルール」節に、以下の1行の箇条書きを追加してください：- レポート本文の冒頭には、実施内容の3〜4行程度の概要（サマリー）を必ず記載する
18b50a2c47	phase2aA2/aex3-selfplan-r2/prt_f6f97fb9f001sUJlUqtphgUIfb#L4	s3	north_appr_r3_s3_rep3	L4	Q1	目視で確定	1.00	承認行	はい、/home/ubuntu/bench-b1-parent/work-agents-report-summary で作業してください
194685f2cf	phase2aB1/aeb1-selfplan-r1/prt_f700ddfc6001f26NfZiK4hAL16#L4	s3	north_appr_r3_s3_rep2	L4	Q1	目視で確定	1.00	承認行	はい、/home/ubuntu/bench-b1-parent/work-add-summary-rule で作業してください
195fcb6a7d	phase1a2/aexample-selfplan-r7/prt_f6b2dea1a00100bc0RDyV8zqt9#L4	c0	north_appr_r3_c0_rep2	L4	Q1	目視で確定	1.00	承認行	Please work in /home/ubuntu/bench-b1-parent/work-add-report-summary
1ae6fbc5f1	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L2	s3	north_appr_r3_s3_rep1	L2	Q1	目視で確定	1.00	承認行	はい、確認してください
1beffa563b	phase1a1/aexample-selfplan-r4/prt_f69e7abcc001NnwLm4LER6PUNq#L3	c2	north_appr_r3_c2_rep3	L3	Q1	目視で確定	1.00	承認行	Can I switch to /home/ubuntu/bench-b1-parent/work-add-report-summary to work? Yes, please.
