# 第 4 ラウンド (s1) — ⚠ s1 は ARMS_S3 / ARMS_S1 の両方の口に入れている
#   ARMS_S1   = north_appr_r4_s1_rep1,north_appr_r4_s1_rep2,north_appr_r4_s1_rep3
#   SAMPLE_S1 = /home/ubuntu/projects/opencode/tmp/feat-bench/results/judge_replay/sample_approval_s1.jsonl
#   目視範囲   = L2,L3  （prereg_r4_s1.md §6 で凍結）
#   目視表     = /home/ubuntu/projects/opencode/tmp/feat-bench/results/judge_replay/q_manual_r4.tsv
#   統計量     = B=10000 / seed=20260808 / 材料 13
# ⚠ 除外水準は **測っていない**。「変わらなかった」と書かない（prereg §6 / §9-4）
# ⚠ 本ラウンドは**採否を出さない**（prereg §4）

# 目視の記入用 TSV（⚠ 盲検: arm は伏せてある）
# 全 115 件 / 機械確定済み 115 件 / 要目視 0 件
# ⚠ 目視範囲: L2:allow / L3:allow（prereg_r4_s1.md §6 で走行前に凍結）
# ⚠ 除外水準は **測っていない**。allow 件数: L0 23 / L1 34 / L4 95 / LA 32（内訳は未確定）
# ⚠ **『変わらなかった』と書かない。** 除外水準について書けるのは
#    「この範囲では測っていない」だけである（prereg §6 / §9-4）。
# ⚠ 範囲を後から広げない。広げるなら別文書に日付つきで登録し、
#    「結果を見た後の拡張」であることを開示する（prereg §6）。
# 除外水準の allow 件数: L0 23 / L1 34 / L4 95 / LA 32
# 語彙は /home/ubuntu/projects/opencode/tmp/p6-judge/q_vocab_r3.json に凍結済み。q_class は**範囲内の全件**を埋める
# 保存先: /home/ubuntu/projects/opencode/tmp/feat-bench/results/judge_replay/q_manual_r4.tsv
blind_id	level	q_class	q1_class	note
0187dc7e31	L3		Q1-a	
09b46724d1	L3		該当なし	
0a93d1e9de	L3		Q1-b	
0aac563ed2	L2		該当なし	
0b27febf13	L3		Q1-a	
0b33911e39	L2		該当なし	
0bffe4e4b4	L3		Q1-b	
0ddfa79803	L2		該当なし	
0dfc721b11	L3		Q1-b	
0fcbe487b6	L3		Q1-b	
0ffd992a83	L3		Q1-b	
126cac52c3	L3		Q1-a	
13f95cfc80	L3		Q1-b	
15732d89a9	L2		Q1-a	
17e8885ea9	L3		該当なし	
1b8b5b559b	L2		Q1-a	
1e4333af59	L3		Q1-a	
206498f2e0	L2		該当なし	
2125bffed1	L3		Q1-b	
21fb4287e1	L2		該当なし	
231fd5e0dd	L3		Q1-b	
27d7330e7e	L2		該当なし	
2e7dbea675	L2		該当なし	
306a375ffb	L3		Q1-a	
32ab238bab	L3		Q1-b	
341cbb5921	L3		Q1-b	
357c05e2c7	L3		該当なし	
3a5be6a5e0	L3		該当なし	
3c08e4cfe5	L3		Q1-b	
420b0c26c3	L3		Q1-b	
428fea9ba6	L2		該当なし	
4349316d8c	L2		該当なし	
4490cf1a3c	L3		Q1-b	
461bea6b0b	L3		Q1-a	
53d2fc8675	L3		Q1-b	
587a061e15	L2		Q1-a	
59fda1f91b	L3		該当なし	
5a764a1a78	L3		Q1-a	
5b2c5b1b5a	L3		Q1-b	
5baf7d0c2e	L3		Q1-a	
5c40762c3d	L3		Q1-b	
5da47d71a7	L3		Q1-a	
5dbfc81adf	L3		Q1-∅	
604512b1d1	L3		Q1-b	
62c82a2254	L2		Q1-a	
66de76629e	L3		Q1-a	
676c91062a	L3		Q1-a	
67ea437f95	L3		Q1-b	
695388affc	L3		該当なし	
6acadaa384	L2		該当なし	
6addeac27b	L3		該当なし	
6eb034a9ba	L3		Q1-a	
700ba54bf1	L3		Q1-b	
712460aaed	L3		Q1-a	
765a25d9b0	L3		Q1-a	
781b0ed463	L3		Q1-∅	
79be6cac3f	L3		該当なし	
7c2a9e7473	L3		Q1-b	
7ca411fc0f	L2		Q1-c	
7d9b1afdb7	L3		該当なし	
86663193d8	L2		該当なし	
883823978c	L3		Q1-a	
8a7f545cc5	L3		Q1-a	
8b3534d582	L3		該当なし	
90134a8387	L2		該当なし	
91d3a62662	L2		該当なし	
9222d97f50	L3		Q1-b	
940ba179a0	L2		該当なし	
9b08d8dd75	L2		Q1-a	
9b9a268f2e	L3		Q1-b	
9bad458fb4	L3		Q1-a	
9dfeb087eb	L2		Q1-a	
