blind_id	level	cluster
00c526b75d159940	iiN	hallucguard2/disk-selfplan-r1
0178a1d44aca29f8	iiL	baseline_scen_v2/page-selfplan-r9
01866a933f2e2306	iiL	hallucguard2/search-selfplan-r5
018d6239c8fd1b35	iiL	hallucguard2/disk-selfplan-r1
01d8863907466795	iiL	hallucguard2/search-selfplan-r5
036078d7d65672b1	iiL	agentsheur/search-selfplan-r5
038e84eff5a76294	iiL	hallucguard3/page-selfplan-r4
03baa672ecc9936f	iiN	hallucguard2/page-selfplan-r4
04481543b4af4d9a	iiN	hallucguard3/page-selfplan-r4
053e56b364ea374b	iiL	m31p100/disk-selfplan-r3
054f75a860251caf	iiN	hallucguard1_rerun/page-selfplan-r4
060183dae401cad2	iiN	m30/disk-selfplan-r1
0741afb079b46ab7	iiL	m30/disk-selfplan-r1
07e94244f5a4f70d	iiL	hallucguard3/search-selfplan-r5
08c1663c5b8edd2b	iiN	baseline_scen_v2/page-selfplan-r9
090cf70b936024f9	iiL	hallucguard2/disk-selfplan-r1
093d4ea7c2312cef	iiN	hallucguard2/page-selfplan-r4
097540ff660ea4ac	iiN	hallucguard2/disk-selfplan-r1
0984772ad79bddac	iiN	baseline_scen_v2/page-selfplan-r9
0bbc3765c7a32498	iiN	hallucguard2/search-selfplan-r5
0c5a8e78f3c87eca	iiL	hallucguard1_rerun/page-selfplan-r4
0c8a7a1b94ae9e9c	iiN	m32/page-selfplan-r3
0cf18d0b4ddabe74	iiL	m32/page-selfplan-r3
0cf71435f8ebcde2	iiN	hallucguard1_rerun/page-selfplan-r4
0d66dca99aec84dd	iiN	hallucguard2/search-selfplan-r1
0dcf865c60034eca	iiN	hallucguard3/page-selfplan-r4
0dd86829f0a96f3c	iiN	m32/search-selfplan-r2
0e74aa9951965b14	iiL	baseline_scen_v2/page-selfplan-r2
0e8ff11d0be598b1	iiN	m30/disk-selfplan-r1
0f07a9658273102f	iiN	reportconv/page-givenplan-r3
0f2663b333c638d6	iiN	m32/page-selfplan-r3
1027299f02168c8b	iiL	hallucguard3/page-selfplan-r4
10386f3cd4a2538a	iiL	baseline_scen_v2/page-selfplan-r9
10649c209528718c	iiL	hallucguard2/page-selfplan-r4
10da756a08895751	iiN	hallucguard3/search-selfplan-r5
10e7ca79a9310347	iiL	featbenchm26/page-givenplan-r2
116afd12b9822de4	iiL	m30/disk-selfplan-r1
11c1151a9fb3be85	iiL	hallucguard1/page-selfplan-r1
136b837ff0190cf4	iiN	m31p100/disk-selfplan-r3
14a9c0c8f01f9683	iiN	featbenchm26/page-givenplan-r2
14ff3b2b7f98093d	iiN	hallucguard2/search-selfplan-r5
1642ae3081418592	iiN	hallucguard1/search-selfplan-r3
1983445b233c987d	iiL	agentsheur/search-selfplan-r5
1acc2ede8b97b6d4	iiL	featbenchm26/page-givenplan-r2
1ad32ad5b00df4e2	iiN	hallucguard1/search-selfplan-r3
1bbea1a387a91eb9	iiL	m31p100/disk-selfplan-r3
1c8b5848fae421d6	iiN	hallucguard2/search-selfplan-r1
1f3773eafa1c29e5	iiN	m31p100/disk-selfplan-r3
209ca9417da2eccd	iiN	baseline_scen_v2/page-selfplan-r2
21709768763e0c71	iiL	hallucguard2/search-selfplan-r1
23134152e6ba164f	iiL	hallucguard1_rerun/page-selfplan-r4
2338831aa13af56f	iiL	hallucguard2/page-selfplan-r4
24a424dd3439c7ec	iiL	hallucguard3/search-selfplan-r5
264c21ac7e55d46d	iiN	m32/search-selfplan-r2
276ac4a21dc47594	iiL	m32/page-selfplan-r3
286a496763ae080e	iiL	hallucguard2/search-selfplan-r1
2973a9f97d531ed0	iiL	hallucguard4/page-selfplan-r4
2a3420f771dd59d8	iiN	baseline_scen_v2/page-selfplan-r2
2bfd679348a09cbe	iiN	reportconv/page-givenplan-r3
2c16782f4d1d1ee3	iiL	hallucguard1/search-selfplan-r3
2d4ca981374c31af	iiN	featbenchm26/page-givenplan-r2
30cf58155e1e0aed	iiL	baseline_scen_v2/page-selfplan-r2
348dc1c9a38b7ef0	iiL	m32/page-selfplan-r4
3859431cf2d78909	iiN	hallucguard1/page-selfplan-r1
3af8010fb7827842	iiN	m32/page-selfplan-r4
3d2d43141061cff3	iiL	hallucguard1/search-selfplan-r3
42da6e91b9343d10	iiL	hallucguard1/page-selfplan-r1
4f028109fa91ce69	iiL	reportconv/page-givenplan-r3
50dc67dce6740210	iiN	agentsheur/search-selfplan-r5
522145d2556eb5de	iiN	hallucguard3/search-selfplan-r5
5731f4c1c4a3b7cd	iiL	reportconv/page-givenplan-r3
5cbc493b76794195	iiL	hallucguard4/page-selfplan-r4
765b616be5e571e6	iiN	hallucguard4/page-selfplan-r4
7a2df3179bf7cecd	iiN	agentsheur/search-selfplan-r5
8a7b5f6fc3a2ad1e	iiL	m32/search-selfplan-r2
8ea290470a17702d	iiN	m32/page-selfplan-r4
9287d27259e51e6f	iiN	hallucguard4/page-selfplan-r4
97ec3efaab819254	iiL	m32/search-selfplan-r2
a2d6403405c2dcb6	iiL	m32/page-selfplan-r4
ec2a66cf020d8084	iiN	hallucguard1/page-selfplan-r1
