run_id	trial	tool	status	category	arm
p6l3_p1_j1	p6l3-l1b-selfplan-r1	read	completed	read	J1
p6l3_p1_j1	p6l3-l1b-selfplan-r1	edit	error	write	J1
p6l3_p1_j1	p6l3-l2r-selfplan-r1	read	completed	read	J1
p6l3_p1_j1	p6l3-l2r-selfplan-r1	read	completed	read	J1
p6l3_p1_j1	p6l3-l2r-selfplan-r1	edit	error	write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r1	read	completed	read	J1
p6l3_p1_j1	p6l3-l4-selfplan-r1	edit	error	write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r1	bash	error	bash_write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r1	write	error	write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r1	bash	error	bash_write	J1
p6l3_p1_j1	p6l3-l1b-selfplan-r2	read	completed	read	J1
p6l3_p1_j1	p6l3-l1b-selfplan-r2	edit	error	write	J1
p6l3_p1_j1	p6l3-l2r-selfplan-r2	read	completed	read	J1
p6l3_p1_j1	p6l3-l4-selfplan-r2	read	completed	read	J1
p6l3_p1_j1	p6l3-l4-selfplan-r2	edit	error	write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r2	bash	error	bash_write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r2	edit	error	write	J1
p6l3_p1_j1	p6l3-l2r-selfplan-r3	read	completed	read	J1
p6l3_p1_j1	p6l3-l2r-selfplan-r3	edit	error	write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r3	read	completed	read	J1
p6l3_p1_j1	p6l3-l4-selfplan-r3	edit	error	write	J1
p6l3_p1_j1	p6l3-l4-selfplan-r3	bash	error	bash_write	J1
