run_id	trial	tool	status	category	arm
p6l3_main_j1_run2	p6l3-l1b-selfplan-r1	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r1	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r1	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r1	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r1	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r1	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r1	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r2	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r2	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r2	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r2	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r2	bash	error	bash_write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r3	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r3	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r3	bash	error	bash_write	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r4	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r4	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r4	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r4	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	bash	error	bash_write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r4	write	error	write	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r5	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r5	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r5	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r5	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r5	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r5	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r5	bash	error	bash_write	J1
p6l3_main_j1_run2	p6l3-l4-selfplan-r5	write	error	write	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r6	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r6	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r6	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r6	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r7	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r7	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r7	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r7	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r8	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r8	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r9	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l1b-selfplan-r9	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r9	read	completed	read	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r9	edit	error	write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r9	bash	error	bash_write	J1
p6l3_main_j1_run2	p6l3-l2r-selfplan-r10	read	completed	read	J1
