blind_id	id	level	tool	mech
9c48b04957	p6l3_main_j2_run1/p6l3-l1b-selfplan-r5#3	L1	edit	hold
3b2ae56695	p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#15	L2	edit	hold
1e2be9cf04	p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#16	L2	bash	hold
2e569f1d70	p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#3	L2	edit	hold
697c6e724c	p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#4	L2	bash	hold
2f9feb2d84	p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#5	L2	bash	hold
8edd2d2886	p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#2	L2	edit	hold
3985c654d4	p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#4	L2	bash	hold
5ca54edce6	p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#1	L2	edit	hold
01e586aa0c	p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#2	L2	bash	hold
37de93a793	p6l3_main_j2_run1/p6l3-l4-selfplan-r1#2	L4	bash	hold
9cdeee62a5	p6l3_main_j2_run1/p6l3-l4-selfplan-r2#4	L4	bash	hold
7b1e0c1e06	p6l3_main_j2_run1/p6l3-l4-selfplan-r3#2	L4	bash	hold
1ca9f5625e	p6l3_main_j2_run1/p6l3-l4-selfplan-r4#4	L4	bash	hold
68623d28d0	p6l3_main_j2_run1/p6l3-l4-selfplan-r5#1	L4	edit	hold
9f3ce4249a	p6l3_main_j2_run1/p6l3-l4-selfplan-r5#2	L4	bash	hold
2c23a4dfa9	p6l3_main_j2_run1/p6l3-l4-selfplan-r5#3	L4	bash	hold
dbeded9d96	p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#5	L2	bash	hold
3ed6e202d6	p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#1	L2	edit	hold
79616eeb33	p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#1	L2	edit	hold
4123c42eaf	p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#2	L2	bash	hold
4b20ea887a	p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#3	L2	edit	hold
c11cb10c90	p6l3_main_j2_run2/p6l3-l4-selfplan-r1#12	L4	edit	hold
a66599775e	p6l3_main_j2_run2/p6l3-l4-selfplan-r2#1	L4	edit	hold
aecc59dfbe	p6l3_main_j2_run2/p6l3-l4-selfplan-r3#4	L4	bash	hold
bf44874f4b	p6l3_main_j2_run2/p6l3-l4-selfplan-r5#2	L4	bash	hold
