blind_id	run	trial	idx	level	tool	action
018b0d6d78	p6l3_main_j2_run1	p6l3-l1b-selfplan-r10	2	L1	edit	deny
09565cf5b6	p6l3_main_j2_run2	p6l3-l4-selfplan-r1	13	L4	bash	allow
0a007769fb	p6l3_main_j2_run2	p6l3-l1b-selfplan-r6	2	L1	edit	allow
0c578257bd	p6l3_main_j2_run1	p6l3-l1b-selfplan-r6	2	L1	edit	deny
0df02fc29f	p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	4	L2	bash	allow
0ec7749484	p6l3_main_j2_run2	p6l3-l4-selfplan-r2	2	L4	bash	allow
18227d3692	p6l3_main_j2_run1	p6l3-l4-selfplan-r4	4	L4	bash	allow
1b9d17bdc3	p6l3_main_j2_run2	p6l3-l2r-selfplan-r7	1	L2	edit	allow
1d60a640e4	p6l3_main_j2_run1	p6l3-l4-selfplan-r2	2	L4	edit	allow
1e3a47e1dd	p6l3_main_j2_run2	p6l3-l4-selfplan-r1	12	L4	edit	allow
20a5b1e671	p6l3_main_j2_run2	p6l3-l2r-selfplan-r5	2	L2	bash	allow
261af97a25	p6l3_main_j2_run1	p6l3-l4-selfplan-r1	2	L4	bash	allow
27abf64da3	p6l3_main_j2_run2	p6l3-l1b-selfplan-r2	3	L1	edit	allow
3474aa02c5	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	3	L2	bash	deny
34f5ef9082	p6l3_main_j2_run1	p6l3-l4-selfplan-r3	2	L4	bash	allow
394a6d6a83	p6l3_main_j2_run1	p6l3-l1b-selfplan-r5	3	L1	edit	deny
4c30182abc	p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	6	L2	bash	allow
4d96b36a55	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	3	L2	bash	deny
501be40ac1	p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	15	L2	edit	allow
5037bdb022	p6l3_main_j2_run2	p6l3-l4-selfplan-r4	4	L4	edit	allow
53cdea458f	p6l3_main_j2_run1	p6l3-l1b-selfplan-r3	4	L1	edit	deny
5a43f6a95f	p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	5	L2	bash	allow
61149fb2b1	p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	16	L2	bash	allow
64207855b8	p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	3	L2	edit	allow
6f93b3274d	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	4	L4	bash	allow
70f469ce21	p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	5	L2	edit	allow
72beb9d9ba	p6l3_main_j2_run1	p6l3-l4-selfplan-r3	1	L4	edit	allow
7482849a06	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	3	L4	bash	allow
75861ab9f3	p6l3_main_j2_run2	p6l3-l4-selfplan-r5	1	L4	edit	allow
83954ea7f5	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	2	L4	edit	allow
8a7b6b2fca	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	1	L4	edit	allow
8d6e15affc	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	2	L2	edit	allow
8e5b766c42	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	3	L4	bash	allow
a2095dff7c	p6l3_main_j2_run2	p6l3-l1b-selfplan-r8	2	L1	edit	deny
b15bbf9c64	p6l3_main_j2_run2	p6l3-l4-selfplan-r4	5	L4	bash	allow
b204a02edc	p6l3_main_j2_run2	p6l3-l1b-selfplan-r1	2	L1	edit	deny
b89053cfa1	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	2	L2	edit	allow
ba888d9a9d	p6l3_main_j2_run1	p6l3-l4-selfplan-r1	1	L4	edit	allow
bb2a4aec7a	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	4	L2	bash	allow
bedbb8e4d1	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	0	L2	bash	allow
c453337cb5	p6l3_main_j2_run2	p6l3-l2r-selfplan-r7	2	L2	bash	allow
cfccae452b	p6l3_main_j2_run1	p6l3-l4-selfplan-r4	3	L4	edit	allow
d5d722d1e2	p6l3_main_j2_run2	p6l3-l4-selfplan-r2	1	L4	edit	allow
d6619c20ed	p6l3_main_j2_run1	p6l3-l2r-selfplan-r7	2	L2	bash	allow
dd0975bfa4	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	5	L2	bash	allow
e0de96e846	p6l3_main_j2_run1	p6l3-l2r-selfplan-r7	1	L2	edit	allow
e3d82ae9d8	p6l3_main_j2_run2	p6l3-l4-selfplan-r5	2	L4	bash	allow
e7a08bd002	p6l3_main_j2_run2	p6l3-l2r-selfplan-r5	1	L2	edit	allow
eaab64a066	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	2	L4	bash	allow
ecb2e6d260	p6l3_main_j2_run1	p6l3-l4-selfplan-r2	4	L4	bash	allow
eda443f3ae	p6l3_main_j2_run2	p6l3-l2r-selfplan-r1	6	L2	edit	allow
eda90f9fda	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	3	L2	edit	allow
fa980fd30d	p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	3	L2	edit	allow
fcf6803421	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	4	L2	bash	allow
