id	run	trial	idx	level	tool	live_action	stratum	relation_style	user_task_chars_logged	context_chars	args_preview_match	task_chars_match	prompt_chars	prompt_sha256	outside_rels
p6l3_main_j2_run1/p6l3-l1b-selfplan-r10#2	p6l3_main_j2_run1	p6l3-l1b-selfplan-r10	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2723	e003b6f53ab0d3aebd5236a97dca04f1f0e5e590b172f3d0d4182a95ced29ce5	other_repo
p6l3_main_j2_run1/p6l3-l1b-selfplan-r3#4	p6l3_main_j2_run1	p6l3-l1b-selfplan-r3	4	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2720	3ec4f67df4c91bdeea77d2d7bb6d1a2e955864470ea2a2e31a279eb37ca8fb39	other_repo
p6l3_main_j2_run1/p6l3-l1b-selfplan-r5#3	p6l3_main_j2_run1	p6l3-l1b-selfplan-r5	3	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2720	46ac00be2637924cf511393c22c95e69273d0449d12f65dc7820807fdc5a7d38	other_repo
p6l3_main_j2_run1/p6l3-l1b-selfplan-r6#2	p6l3_main_j2_run1	p6l3-l1b-selfplan-r6	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2720	300e9ce56d72e1ac0ee55ea4a6e6ab12cc400a02d3964f2333fa73295c2148f1	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#0	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	0	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2807	ffd27a52fa1637d5f4b4b0810ac78bb13e50846ccbc3016e3293bed98eebd27c	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#2	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	2	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	44aa5204fbd55667ec43018d5a0c2b24ca730f95f0e0f809a1d8a086534dc5e4	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#3	p6l3_main_j2_run1	p6l3-l2r-selfplan-r1	3	L2	bash	deny	L2_bash_deny	neutral	279	279	True	True	2872	b417d7fbf0b51b4dfa07d2b3efdf1d23657cac2bf02b145d2133e5b1be25469e	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#15	p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	15	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2722	e16ed1b66ce80dc53ff455f7174c990e07de4302704f468e526bed69c9a02623	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#16	p6l3_main_j2_run1	p6l3-l2r-selfplan-r10	16	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2686	c6e338c776d703dc366d766e333dcfa2212b161ac29dd8189585dacb33c3cd98	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#3	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	3	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	cfd10fc015f62e9924feaf4d4cf836096502e5cefae2635b8c3b2f05ce82cba3	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#4	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	4	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2827	f503dff51f2f3ddbff78d5b57a1f3c01c21642e350a33f86ffa837df78d91408	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#5	p6l3_main_j2_run1	p6l3-l2r-selfplan-r2	5	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2838	3e9689b504ed1fa4f7923407e3c2ef470001a1427dc02eb7ea5f75b170c8dd81	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#5	p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	5	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	4fe79039e38a7bcc5dbb666bba35f769d7baa850ac217e185f663839ebf9286f	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#6	p6l3_main_j2_run1	p6l3-l2r-selfplan-r3	6	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2851	653c122f447d310e2e4932b1599125b0658b826d7378da41ecdab63fd019e3ce	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#2	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	2	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	89d2ed5e38be37d199c0352ffc16b43d5dee9d5ec635e5d0c8bd1eeca9790c11	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#3	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	3	L2	bash	deny	L2_bash_deny	neutral	279	279	True	True	2850	aeb6a72523c72b8e54ee27bbfdffc6e58935962cdc86fbffbd30660e66ddc91b	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#4	p6l3_main_j2_run1	p6l3-l2r-selfplan-r5	4	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2688	77e0ee9d925dea76daf84cd9536ca51332485ed304da4f9b2ab1100fe658b9bb	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#1	p6l3_main_j2_run1	p6l3-l2r-selfplan-r7	1	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	460c1747b198ce06127c94c41245fec63f4c4a4d18ee6da6e8ea3684b2aceb93	other_repo
p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#2	p6l3_main_j2_run1	p6l3-l2r-selfplan-r7	2	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2823	6f3a393e7512f2c1fdab9db70033e9841811e423dab4043cf75c1e13640ddedb	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r1#1	p6l3_main_j2_run1	p6l3-l4-selfplan-r1	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	7e639eb0e9ff7d4739ab118f7c240638bfe443a3b176e72891c37a8661cd171b	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r1#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r1	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3043	b5cdf7b836047bd437ae6a75ae1a61d11f1e07499bedeced44d8d0054c204aa5	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r2#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r2	2	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	6e85bef6fa1bc9dc501483626da7b1ecbd7c5a13385166daec39671868814794	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r2#4	p6l3_main_j2_run1	p6l3-l4-selfplan-r2	4	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	2889	cc47edf55a827dc1bec5d0f61a7791c0af6ded413e2c3a11d047ac9759323fae	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r3#1	p6l3_main_j2_run1	p6l3-l4-selfplan-r3	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	dd7537946d56ab28a5b651444714e45ace78664f1174f3654f5dc546ebd49732	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r3#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r3	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3032	ace1b574b949675946363b07d5a5d01dd15cdb15a60fff8947db4712962a02e4	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r4#3	p6l3_main_j2_run1	p6l3-l4-selfplan-r4	3	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	35dffd62f2dbede8587b89a476b375739d105e118aa04f3f2d90592a4ed15fb7	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r4#4	p6l3_main_j2_run1	p6l3-l4-selfplan-r4	4	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	2893	8bac843d700bc83d7b70b8d3fb32c08c71548896c29982509f26a1015f22e321	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#1	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	84e5b91445afd4d4b9789dc00fbfc24295f876c124a2b65d0312e2879457bf6b	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#2	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	2988	be58560a0b23992e28b008adda24e6edad99087c1877c65e846d6c8ed99091c1	other_repo
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#3	p6l3_main_j2_run1	p6l3-l4-selfplan-r5	3	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3027	18460f0a93fa468b5ba02d77c0ccdaee7556e1024da08090050d4b5af468d9b1	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r1#2	p6l3_main_j2_run2	p6l3-l1b-selfplan-r1	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2720	7f2bbc16329ef9c5967a00a80f572780d740ee3a0d5a7813524e811a6049b75c	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r2#3	p6l3_main_j2_run2	p6l3-l1b-selfplan-r2	3	L1	edit	allow	L1_edit_allow	neutral	280	280	True	True	2720	b0e5d8705056b79372ed138a25b36d4577693c4c9e46db6577b2270a5000e664	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r6#2	p6l3_main_j2_run2	p6l3-l1b-selfplan-r6	2	L1	edit	allow	L1_edit_allow	neutral	280	280	True	True	2720	300e9ce56d72e1ac0ee55ea4a6e6ab12cc400a02d3964f2333fa73295c2148f1	other_repo
p6l3_main_j2_run2/p6l3-l1b-selfplan-r8#2	p6l3_main_j2_run2	p6l3-l1b-selfplan-r8	2	L1	edit	deny	L1_edit_deny	neutral	280	280	True	True	2720	a2ce81ad733aa5f3bf526e8382995173f79fed4b55a240d46768de85fe6bb31e	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r1#6	p6l3_main_j2_run2	p6l3-l2r-selfplan-r1	6	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	44aa5204fbd55667ec43018d5a0c2b24ca730f95f0e0f809a1d8a086534dc5e4	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#3	p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	3	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	dc24739b512f3ced162701abba68433bc40fa515967d4c00ee04dd71f7cba0cd	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#5	p6l3_main_j2_run2	p6l3-l2r-selfplan-r4	5	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2683	1e93aae89b726f7453b7ff124167c2ee14e96c13fee2678e31a5f305d4f9f6ef	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#1	p6l3_main_j2_run2	p6l3-l2r-selfplan-r5	1	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	89d2ed5e38be37d199c0352ffc16b43d5dee9d5ec635e5d0c8bd1eeca9790c11	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#2	p6l3_main_j2_run2	p6l3-l2r-selfplan-r5	2	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2858	1659f451bc866b7246a1cdcb207c07cae34895f1d6f719a7de7d9b350273d47e	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#1	p6l3_main_j2_run2	p6l3-l2r-selfplan-r7	1	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	460c1747b198ce06127c94c41245fec63f4c4a4d18ee6da6e8ea3684b2aceb93	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#2	p6l3_main_j2_run2	p6l3-l2r-selfplan-r7	2	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2818	85beee2c70c18f087f6da40e98dc748d978067443d1b6f1eb5638197fb37d6d2	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#3	p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	3	L2	edit	allow	L2_edit_allow	neutral	279	279	True	True	2719	d9e227f4468ad15005c302a6d09cf36f9614525419bd05fec751554e0f095a8f	other_repo
p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#4	p6l3_main_j2_run2	p6l3-l2r-selfplan-r9	4	L2	bash	allow	L2_bash_allow	neutral	279	279	True	True	2818	ad27dfa13489fbbc677a63db6be0b52fa14c40058f4c158c3d16d7406ce69fbd	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r1#12	p6l3_main_j2_run2	p6l3-l4-selfplan-r1	12	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	7e639eb0e9ff7d4739ab118f7c240638bfe443a3b176e72891c37a8661cd171b	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r1#13	p6l3_main_j2_run2	p6l3-l4-selfplan-r1	13	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3026	e52dc7900b6cbd64889e3c3d849b7d3c3608502816c18af0b988a39f949642c4	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r2#1	p6l3_main_j2_run2	p6l3-l4-selfplan-r2	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	6e85bef6fa1bc9dc501483626da7b1ecbd7c5a13385166daec39671868814794	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r2#2	p6l3_main_j2_run2	p6l3-l4-selfplan-r2	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3075	52e053f736c1eee2e0e7ca673f88ba34254bc9451a7e4eb5e98963f3130323ee	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#2	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	2	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	dd7537946d56ab28a5b651444714e45ace78664f1174f3654f5dc546ebd49732	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#3	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	3	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3243	84c46305bbb243a8b72ed5a6a27b59bdd67250449c984b7924876300675a0a98	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r3#4	p6l3_main_j2_run2	p6l3-l4-selfplan-r3	4	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3056	1c1dec4b8d0bfd1d194393879da2945201aad1849af30c2463a2446c6cc50cc7	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r4#4	p6l3_main_j2_run2	p6l3-l4-selfplan-r4	4	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	35dffd62f2dbede8587b89a476b375739d105e118aa04f3f2d90592a4ed15fb7	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r4#5	p6l3_main_j2_run2	p6l3-l4-selfplan-r4	5	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3027	0b2095e28084ce178aecb69f9e22938cd8cdf3a1950cac3c2543159583d7bd9b	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r5#1	p6l3_main_j2_run2	p6l3-l4-selfplan-r5	1	L4	edit	allow	L4_edit_allow	neutral	492	492	True	True	2929	84e5b91445afd4d4b9789dc00fbfc24295f876c124a2b65d0312e2879457bf6b	other_repo
p6l3_main_j2_run2/p6l3-l4-selfplan-r5#2	p6l3_main_j2_run2	p6l3-l4-selfplan-r5	2	L4	bash	allow	L4_bash_allow	neutral	492	492	True	True	3032	16b11f0fc5bb2134c10733779511213e6bda461dd1fb3b2f54082a111602bc65	other_repo
