id	level	tool	live_action	action	n_valid	quote_src_major	checklist_c	mech	mech_qf
p6l3_main_j2_run1/p6l3-l1b-selfplan-r10#2	L1	edit	deny	deny	5	empty	unparsed	None	None
p6l3_main_j2_run1/p6l3-l1b-selfplan-r3#4	L1	edit	deny	deny	5	empty	unparsed	None	None
p6l3_main_j2_run1/p6l3-l1b-selfplan-r5#3	L1	edit	deny	allow	5	empty	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l1b-selfplan-r6#2	L1	edit	deny	deny	5	empty	unparsed	None	None
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#0	L2	bash	allow	allow	5	read_approval	unparsed	M1-read_approval	M1-read_approval
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#2	L2	edit	allow	allow	5	task_body	unparsed	M2-body	M2-body
p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#3	L2	bash	deny	deny	5	empty	unparsed	None	None
p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#15	L2	edit	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#16	L2	bash	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#3	L2	edit	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#4	L2	bash	allow	allow	3	empty	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#5	L2	bash	allow	allow	4	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#5	L2	edit	allow	allow	5	multi	unparsed	M4-multi	M4-multi
p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#6	L2	bash	allow	allow	5	read_approval	unparsed	M1-read_approval	M1-read_approval
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#2	L2	edit	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#3	L2	bash	deny	deny	3	empty	unparsed	None	None
p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#4	L2	bash	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#1	L2	edit	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#2	L2	bash	allow	allow	4	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r1#1	L4	edit	allow	allow	5	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run1/p6l3-l4-selfplan-r1#2	L4	bash	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r2#2	L4	edit	allow	allow	5	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run1/p6l3-l4-selfplan-r2#4	L4	bash	allow	allow	4	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r3#1	L4	edit	allow	allow	5	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run1/p6l3-l4-selfplan-r3#2	L4	bash	allow	allow	4	empty	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r4#3	L4	edit	allow	allow	5	l4_abs_path	unparsed	M1b-abs_path	M1b-abs_path
p6l3_main_j2_run1/p6l3-l4-selfplan-r4#4	L4	bash	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#1	L4	edit	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#2	L4	bash	allow	allow	5	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run1/p6l3-l4-selfplan-r5#3	L4	bash	allow	allow	4	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run2/p6l3-l1b-selfplan-r1#2	L1	edit	deny	allow	5	parent_mention	unparsed	M3-other	M3-other
p6l3_main_j2_run2/p6l3-l1b-selfplan-r2#3	L1	edit	allow	deny	5	empty	unparsed	None	None
p6l3_main_j2_run2/p6l3-l1b-selfplan-r6#2	L1	edit	allow	deny	5	empty	unparsed	None	None
p6l3_main_j2_run2/p6l3-l1b-selfplan-r8#2	L1	edit	deny	deny	5	empty	unparsed	None	None
p6l3_main_j2_run2/p6l3-l2r-selfplan-r1#6	L2	edit	allow	allow	5	read_approval	unparsed	M1-read_approval	M1-read_approval
p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#3	L2	edit	allow	allow	5	task_body	unparsed	M2-body	M2-body
p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#5	L2	bash	allow	allow	4	nonverbatim	unparsed	hold	hold
p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#1	L2	edit	allow	allow	5	nonverbatim	unparsed	hold	hold
