blind_id	id	level	tool	mech
d510487346	p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#0	L2	bash	hold
0094283f45	p6l3_main_j2_run1/p6l3-l2r-selfplan-r1#2	L2	edit	hold
f9b445e714	p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#15	L2	edit	hold
f93f90ad13	p6l3_main_j2_run1/p6l3-l2r-selfplan-r10#16	L2	bash	hold
e7278fa8eb	p6l3_main_j2_run1/p6l3-l2r-selfplan-r2#5	L2	bash	hold
957c26955d	p6l3_main_j2_run1/p6l3-l2r-selfplan-r3#6	L2	bash	hold
0308d30360	p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#2	L2	edit	hold
c04d9f0d32	p6l3_main_j2_run1/p6l3-l2r-selfplan-r5#4	L2	bash	hold
f552c72774	p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#1	L2	edit	hold
cff575ae63	p6l3_main_j2_run1/p6l3-l2r-selfplan-r7#2	L2	bash	hold
85d9108d10	p6l3_main_j2_run1/p6l3-l4-selfplan-r1#2	L4	bash	hold
460091eb6e	p6l3_main_j2_run1/p6l3-l4-selfplan-r2#4	L4	bash	hold
e4a4920693	p6l3_main_j2_run1/p6l3-l4-selfplan-r5#3	L4	bash	hold
f3d8d1d7b3	p6l3_main_j2_run2/p6l3-l2r-selfplan-r1#6	L2	edit	hold
1ed54b2850	p6l3_main_j2_run2/p6l3-l2r-selfplan-r4#5	L2	bash	hold
b3dab84d2a	p6l3_main_j2_run2/p6l3-l2r-selfplan-r5#2	L2	bash	hold
226a73b135	p6l3_main_j2_run2/p6l3-l2r-selfplan-r7#2	L2	bash	hold
b0174259a1	p6l3_main_j2_run2/p6l3-l2r-selfplan-r9#4	L2	bash	hold
9067f83f05	p6l3_main_j2_run2/p6l3-l4-selfplan-r1#13	L4	bash	hold
d7d9c05042	p6l3_main_j2_run2/p6l3-l4-selfplan-r2#1	L4	edit	hold
45e29b4db1	p6l3_main_j2_run2/p6l3-l4-selfplan-r3#2	L4	edit	hold
357e1bb8ad	p6l3_main_j2_run2/p6l3-l4-selfplan-r3#4	L4	bash	hold
09602f5c76	p6l3_main_j2_run2/p6l3-l4-selfplan-r4#5	L4	bash	hold
