run_id	trial	tool	status	category	arm
l3r2_p0_j0	l3r2-l2r-selfplan-r1	read	completed	read	J0
l3r2_p0_j0	l3r2-l2d-selfplan-r1	read	completed	read	J0
l3r2_p0_j0	l3r2-l2c-selfplan-r1	read	completed	read	J0
l3r2_p0_j0	l3r2-l1c-selfplan-r1	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r1	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r1	edit	completed	write	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l2d-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l2c-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l1c-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r2	edit	completed	write	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r3	edit	completed	write	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l2d-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l2c-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l1c-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r3	edit	completed	write	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r4	read	completed	read	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r4	edit	completed	write	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r4	read	completed	read	J0
l3r2_p0_j0	l3r2-l2d-selfplan-r4	read	completed	read	J0
l3r2_p0_j0	l3r2-l2c-selfplan-r4	read	completed	read	J0
l3r2_p0_j0	l3r2-l1c-selfplan-r4	read	completed	read	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r5	read	completed	read	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r5	edit	completed	write	J0
l3r2_p0_j0	l3r2-l2r-selfplan-r5	read	completed	read	J0
l3r2_p0_j0	l3r2-l2d-selfplan-r5	read	completed	read	J0
l3r2_p0_j0	l3r2-l2c-selfplan-r5	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r5	read	completed	read	J0
l3r2_p0_j0	l3r2-l1d-selfplan-r5	edit	completed	write	J0
l3r2_p0_j0	l3r2-l4-selfplan-r1	read	completed	read	J0
l3r2_p0_j0	l3r2-l4-selfplan-r1	edit	completed	write	J0
l3r2_p0_j0	l3r2-l4-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l4-selfplan-r2	edit	completed	write	J0
l3r2_p0_j0	l3r2-l4-selfplan-r2	read	completed	read	J0
l3r2_p0_j0	l3r2-l4-selfplan-r3	read	completed	read	J0
l3r2_p0_j0	l3r2-l4-selfplan-r3	edit	completed	write	J0
l3r2_p0_j0	l3r2-l4-selfplan-r3	read	completed	read	J0
